Nazwa	Skrót	Kod	Kod paskowy	Pierwszy dod. kod pask.	Typ	Kod grupy	Grupa	Jednostka	PKWiU	VATs	VATz	Ilość	Opak.zb.	Gramatura	Ce.zak.netto	Ce.sprz.netto	Ce.sprz.brutto	WPromocji:	Używaj limitów	Limit dolny	Limit górny	Marza bazowa	Narzut bazowy	Zapas na	LiczbaDniPrzydatnosci	Fotografia	Uwagi	Klas1	Klas2	Klas3	Klas4	Klas5	Klas6	Klas7	Klas8	Klas9	Klas10	DataWpisu	Opis
M.Szyna do ogrz. ściennego 14 UPONOR		3326			Towar	1	Ogólna	mb	Bez SWW	23%	23%	-1000	1	1	6.85	8.09	9.95		0	1	1			14														2015-02-13	
IMM. KOCIOŁ VICTRIX 24kW ECOPLUS 160		3327			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	4483.05	4715.45	5800.00		0	1	1			14														2015-02-13	
MOŚ   MUFA   RED   3/4 * 1/2		3325			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	10	1	1	2.10	2.85	3.50		0	1	1			14														2015-02-10	
MOŚ   PRZEDŁUŻKA   3/4*   25mm		3324			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	10	1	1	2.78	4.63	5.70		0	1	1			14														2015-02-10	
Ergolid INNOVA-TERMn 20L -35st.		3316			Towar	2	MARKA SP. Z O.O.	l	Bez SWW	23%	23%	40	1	1	5.98	6.99	8.60		0	1	1			14														2015-02-09	
M.Grunt TYTAN emulsja akrylowa 6l	010074	3310			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	3	1	1	18.62	22.76	28.00		0	1	1			14														2015-02-09	
M.Krzyżyki do glazury 3,5mm op.125szt	010246	3311			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	3	1	1	1.14	1.63	2.00		0	1	1			14			SELENA											2015-02-09	
M.Płytka gresowa 29,7x29,7 7mm HX200 Cersanit	012088	3312			Towar	2	MARKA SP. Z O.O.	m2	Bez SWW	23%	23%	60	1	1	11.37	12.20	15.00		0	1	1			14														2015-02-09	
M.KAN W Kolano 50 - 22*	002568	3313			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	16	1	1	1.31	1.54	1.90		0	1	1			14			AQUER											2015-02-09	
M.KAN W Rewizja 50	002637	3315			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	2	1	1	2.68	3.82	4.70		0	1	1			14			AQUER											2015-02-09	
